These are patches originally created for the DX-21 by Bobby Clark.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated April 22, 1987 (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
A 8    8 - AFTERGLOW 
A 9    9 - YAZ       
A10   10 - SpellTalk 
A11   11 - ProphetIII
A12   12 - Harmonizer
A13   13 - Invisible!
A14   14 -  ICARUS 3 
A15   15 - MoodyBluu 
A16   16 - The  organ
B 1   17 - KORDZ     
B 2   18 - PanfFlooto
B 3   19 - Fantasy 55
B 4   20 - ALGO.DANCE
B 5   21 - ABACAB    
B 6   22 - N*Y*M*P*H 
B 7   23 - Tranquilo 
B 8   24 - Tranquilos

File: P.syx


A 1    1 - Charmer   
A 2    2 - neo-piano 
A 3    3 - neo-piano2
A 4    4 - Tranquilot
A 5    5 - Throb     
A 6    6 - Doors     
A 7    7 - velosasnth
A 8    8 - sleeper   
A 9    9 - RealPiano 
A10   10 - RealPiano2
A11   11 - ShortCirc.
A12   12 - EJA       
A13   13 - IvoryEbo.2
A14   14 - Glowstring
A15   15 - AlarmXXWXY
A16   16 - WAVESAY   
B 1   17 - SynthHiHat
B 2   18 - SYNTHYplop
B 3   19 - SYNTHY}}} 
B 4   20 -  TWINKLE  
B 5   21 - LEEBADO   
B 6   22 - BigHill   
B 7   23 - Sitar II  
B 8   24 - Sitarzi   

File: Q.syx


A 1    1 - Things    
A 2    2 - First Base
A 3    3 - Ballpark  
A 4    4 - Operator  
A 5    5 - London PD 
A 6    6 - Shamtar   
A 7    7 - SwampBugs 
A 8    8 - SwampBugs2
A 9    9 - SleighBell
A10   10 - Paramedic 
A11   11 - Synthual  
A12   12 - ElecaGrand
A13   13 - {  9999  }
A14   14 - SunSnow   
A15   15 -  timeless 
A16   16 - EXPRMNT199
B 1   17 - klnksicrd1
B 2   18 - BANJOOB   
B 3   19 - TheBIGBass
B 4   20 - HEAVEN77  
B 5   21 - SPRITE    
B 6   22 - Odds      
B 7   23 - SizzSynth 
B 8   24 - TABOO     

File: R.syx


A 1    1 - Trails end
A 2    2 - ABACABUS  
A 3    3 - milgrams37
A 4    4 - {risisira}
A 5    5 - SoftTouch 
A 6    6 - Looming   
A 7    7 - Folklore!!
A 8    8 - Vannation 
A 9    9 - heesor    
A10   10 - Ruckus    
A11   11 - MATTA     
A12   12 - Air Along!
A13   13 - SOLO!!!!!!
A14   14 - Japarimba 
A15   15 - ElfisPerc.
A16   16 - SilentRun.
B 1   17 - MIRAGE    
B 2   18 - DX UFO FXn
B 3   19 - Zillionth2
B 4   20 - Zillionth 
B 5   21 - XQtar     
B 6   22 - 28 8 18   
B 7   23 - MOONWATER 
B 8   24 - MoonFall  

File: S.syx


A 1    1 - Pianostra 
A 2    2 - DX----Bass
A 3    3 - Moongosh  
A 4    4 - Grendel   
A 5    5 - Lutee     
A 6    6 - TISPER    
A 7    7 - sequential
A 8    8 - ensoniqua 
A 9    9 - Vespers   
A10   10 - noteslide 
