These are patches originally created for the DX-21 by some anonymous person or persons.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated January 22, 1998  (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
A14   14 - 4-POLE RES
A15   15 - MR.SANDMAN
A16   16 - AIR GUITAR
B 1   17 - MAHLER    
B 2   18 - BLOW BY   
B 3   19 - CATHEDRAL 
B 4   20 - OCARINA   
B 5   21 - SYNTHCHORD
B 6   22 - GONGWIND  
B 7   23 - SWIRLY PAD
B 8   24 - LOWFMBRASS




File: 13.SYX

A 1    1 - ROCKORGAN 
A 2    2 - SYNTHVOICE
A 3    3 - OSC.SYNC 2
A 4    4 - COMBO ORG.
A 5    5 - NEY FLUTE 
A 6    6 - PULSEWIDTH
A 7    7 - JAZZ LEAD 
A 8    8 - SHOFAR    
A 9    9 - SYN VOICE2
A10   10 - WARM PAD  
A11   11 - POLY PAD  
A12   12 - PERC.LEAD 
A13   13 - GOBLINS   
A14   14 - TROGLIDYTE
A15   15 - LEADGUITAR
A16   16 - PSS-170 2 
B 1   17 - SWEEPING4P
B 2   18 - FAIRY DUST
B 3   19 - OSC.SYNC 4
B 4   20 - ADDY SWEEP
B 5   21 - SPACE PAD 
B 6   22 - MODULEMODE
B 7   23 - SCI-FI 2  
B 8   24 - PSS-470   




File: 14.SYX

A 1    1 - STRANGER  
A 2    2 - OSC.SYNC  
A 3    3 - SYNOPHONE 
A 4    4 - CITYBRASS 
A 5    5 - GAMELAN   
A 6    6 - WATERPHONE
A 7    7 - BASSANERO 
A 8    8 - TECHNICS  
A 9    9 - ANDES     
A10   10 - WOOD PAD  
A11   11 - SPACEPAD 2
A12   12 - SQUARELEAD
A13   13 - OSC.SYNC 3
A14   14 - IRON FIST 
A15   15 - CHORDDY   
A16   16 - CAN DANCE 
B 1   17 - ORGANICAL 
B 2   18 - DISTORTION
B 3   19 - SHANAI    
B 4   20 - COMPU LEAD
B 5   21 - COMBO ORG2
B 6   22 - RAINFOREST
B 7   23 - SCI-FI    
B 8   24 - ACOUSTIC




File: 15.SYX

A 1    1 - ELECTRICIY
A 2    2 - HAMMONDVOX
A 3    3 - IMPENDING 
A 4    4 - HARP 3    
A 5    5 - FM LEADER 
A 6    6 - SOUNDTRACK
A 7    7 - MOOG SAW  
A 8    8 - GUITARVIBE
A 9    9 - WAGNER    
A10   10 - RESO BASS 
A11   11 - FENDER 2  
A12   12 - DXED LOWER
A13   13 - BOWED HELL
A14   14 - HIMALAYA  
A15   15 - SPRINKLE  
A16   16 - HEAVY PAD 
B 1   17 - EMULATOR 1
B 2   18 - MUTANT    
B 3   19 - VOCODER 3 
B 4   20 - FUNK LEAD 
B 5   21 - ACEOF BASS
B 6   22 - NORTHERNER
B 7   23 - OVATION 4S
B 8   24 - DX SQUARED




File: 16.SYX

A 1    1 - MOOG PULSE
A 2    2 - ACEOFBASS2
A 3    3 - HEAVYPAD2 
A 4    4 - INYOURFACE
A 5    5 - IRON AGE  
A 6    6 - PEGGED    
A 7    7 - FRENCHHORN
A 8    8 - HEAVYPAD3 
A 9    9 - SOUTHERNER
A10   10 - 4/6STRING 
A11   11 - MIRAGESAMP
A12   12 - SHARP LEAD
A13   13 - CELTICHARP
A14   14 - RESO BELL 
A15   15 - SYNTHDIST*
A16   16 - 6 STRING  
B 1   17 - RHODESBASS
B 2   18 - KRAFTWERK 
B 3   19 - CLAVIER   
B 4   20 - VOCODER 2 
B 5   21 - REZNORANDA
B 6   22 - BONANGERAM
B 7   23 - CHIFFER   
B 8   24 - CHIMER




File: 17.SYX

A 1    1 - ORCH.PAD  
A 2    2 - HARMOVOC. 
A 3    3 - STOOGES   
A 4    4 - MOVIE PAD 
A 5    5 - ORCH.PAD2 
A 6    6 - CRYSTALINE
A 7    7 - FANTASTEEL
A 8    8 - KOTO      
A 9    9 - BACKER    
A10   10 - ELEC.PNO 3
A11   11 - YAMAHA CP 
A12   12 - HOLY ARCH 
A13   13 - TABERNACLE
A14   14 - DAYTIME 2 
A15   15 - JUPITER   
A16   16 - KITARO    
B 1   17 - 9FOOTGRAND
B 2   18 - ELEC.PNO 1
B 3   19 - BALLPARK  
B 4   20 - COMBAPHONE
B 5   21 - PROTEUPLEX
B 6   22 - ASTRAL    
B 7   23 - FUJINARO  
B 8   24 - LASERBLAST




File: 18.SYX

A 1    1 - CHIMESYNTH
A 2    2 - BABY GRAND
A 3    3 - SYNTHBOARD
A 4    4 - DINGALLING
A 5    5 - ALIENSHORE
A 6    6 - WOOD BASS 
A 7    7 - UPRIGHT   
A 8    8 - KOTO 2    
A 9    9 - MONOLOG   
A10   10 - ELEC.PNO 2
A11   11 - Z-PLANESYN
A12   12 - ELEC.PNO 4
A13   13 - WURLITZER1
A14   14 - WURLITZER2
A15   15 - ACID RAIN 
A16   16 - KEYZER    
B 1   17 - OLD PERC. 
B 2   18 - SERVICES  
B 3   19 - MACHINE FX
B 4   20 - DAYTIME   
B 5   21 - OB-8 SWEEP
B 6   22 - CHURCH 2  
B 7   23 - HI/LOWPASS
B 8   24 - DIGISYNBAS



File: 19.SYX

A 1    1 - 2HAND LEAD
A 2    2 - SOLAR WIND
A 3    3 - STRATA 2  
A 4    4 - SCOTLAND  
A 5    5 - PERU      
A 6    6 - IMP.PAD   
A 7    7 - ECHOVIOLIN
A 8    8 - IMP.PAD2  
A 9    9 - BELLVOICE 
A10   10 - KAZOO !!! 
A11   11 - BELLONG   
A12   12 - HI PASS   
A13   13 - K1-BASS   
A14   14 - SQUAREBASS
A15   15 - CZ LEAD   
A16   16 - DIST.LEAD 
B 1   17 - CT-656 #5 
B 2   18 - DISTLEAD2 
B 3   19 - SYN DIST. 
B 4   20 - E.L.P.    
B 5   21 - NAZCA     
B 6   22 - 8BIT PIPE 
B 7   23 - JAY'S Wind
B 8   24 - !*)$%@!!  




File: 20.SYX

A 1    1 - ELFIN HARP
A 2    2 - STRATA    
A 3    3 - TR-CYMBLES
A 4    4 - K4-BASS   
A 5    5 - CROTALINA 
A 6    6 - FILT.BRASS
A 7    7 - OCEAN SURF
A 8    8 - DEEP VOICE
A 9    9 - STAR SONG 
A10   10 - IMP.PAD3  
A11   11 - FM 4STRING
A12   12 - DX TEMPO  
A13   13 - INDIA     
A14   14 - TWINKLE * 
A15   15 - METALSWELL
A16   16 - WOODWIND  
B 1   17 - FAIRYFLUTE
B 2   18 - CAVERN    
B 3   19 - PSS-47O   
B 4   20 - VOYAGER   
B 5   21 - ORGANDREAM
B 6   22 - TEHCNOWIND
B 7   23 - 16BIT PIPE
B 8   24 - DIGI RAIN 
